SQ_CANDIDATO;CD_SG_UF;CD_TP_AGREMIACAO;CD_PARTIDO;CD_DS_NACIONALIDADE;CD_SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;CD_DS_GENERO;CD_DS_GRAU_INSTRUCAO;CD_DS_ESTADO_CIVIL;CD_DS_COR_RACA;CD_DS_OCUPACAO;CD_ST_REELEICAO;CAT_CANDIDATO_A_PRESIDENTE;CAT_CANDIDATO_A_GOVERNADOR;CD_DS_PORTE;NR_IDADE_PARTIDO_2018;CD_DS_ESPECTRO_POLITICO;CD_DS_POSICIONAMENTO_IDEOLOGICO;CD_CAT_LEGALIZACAO_CANNABIS;CD_CAT_ESTATUTO_DESARMAMENTO;CD_CAT_DESCRIMINALIZACO_ABORTO;CD_CAT_CASAMENTO_LGBT;CD_CAT_REDUCAO_MAIORIDADE_PENAL;CD_CAT_PRIVATIZACOES_EMPRESAS_PUBLICAS;CD_CAT_COTAS_UNIVERSIDADES;CD_CAT_EDUCACAO_SEXUAL_GENERO_EM_ESCOLAS;CD_CAT_MISTURA_ENTRE_POLITICA_RELIGAO;CD_CAT_MILITARISMO;CD_CAT_RURALISMO;CD_CAT_TRABALHISMO;ANO_ELEICAO;TOTAL_FILIADOS;TOTAL_VALOR_BENS;SCORE;TOTAL_VALOR_DESPESAS;PUB_MKT;QT_VOTOS_NOMINAIS_TOTAL
 10000000173;1;1;10;2;1;38;2;6;1;2;94;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;355000;1;470999.17;367090.21;17903
 20000000391;2;1;10;2;2;54;2;3;4;4;155;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;85000;0;15445.34;4740;425
 20000000392;2;1;10;2;2;42;2;6;1;4;137;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;0;0;85
 20000000393;2;1;10;2;2;24;2;7;4;4;61;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;190000;0;900;0;1070
 20000000444;2;1;10;2;2;40;2;3;1;4;9;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;15658.4;7140;1768
 20000000446;2;1;10;2;2;51;1;6;5;4;20;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;3180.4;2220.75;206
 20000000447;2;1;10;2;2;54;2;6;1;4;1;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;0;0;3194
 20000000449;2;1;10;2;2;40;2;2;4;4;41;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;2133.6;1220.75;2776
 20000616806;2;1;10;2;2;48;2;3;1;4;49;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;841497.4;513597.59;70413
 30000000353;4;1;10;2;4;44;2;6;1;4;124;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;125025.81;12;89373.2;11863.62;13798
