OBJECTID;ZEFINAL;FIRST_SEDE;FIRST_NOME;SHAPE_LENG;SHAPE_AREA;ZHAPE_AREA;ANO_ELEICA;CD_TIPO_EL;NM_TIPO_EL;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGE;SG_UF;SG_UE;NM_UE;CD_MUNICIP;NM_MUNICIP;NR_ZONA;CD_CARGO;DS_CARGO;TP_AGREMIA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;SQ_COLIGAC;NM_COLIGAC;DS_COMPOSI;ST_VOTO_EM;QT_VOTOS_N;QT_VOTOS_L;TOTAL_DOMI;TOTAL_REND;RENDA_MEDI;MORADORES_;MEDIA_MORA;RENDA_PER_;POP_MASCUL;POP_FEMINI;POP_BRANCA;POP_PRETA;POP_AMAREL;POP_PARDA;POP_INDIGE;POP_CRIANC;POP_ADOLES;POP_ADULTO;POP_IDOSA;Rank_TOT_REND;Rank_MORADORES;Rank_POP_PARDA;Rank_POP_PRETA;Rank_POP_BRANCA;Rank_POP_AMAREL;Rank_TOTAL_DOMI;Rank_POP_MASCUL;Rank_POP_FEMINI;Rank_POP_ADOLES;Rank_POP_ADULTO;Rank_POP_IDOSA
1;1;SÃO PAULO;SÃO PAULO - BELA VISTA;0.15106082394;0.00068925523;279;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;1;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;8664;2250;73450;347446238;4730.38;162750;2;2134.85;68870;77773;103417;7363;9227;26432;204;26366;63746;30356;26175;8;3;2;3;6;9;7;4;4;5;4;6
2;2;SÃO PAULO;SÃO PAULO - PERDIZES;0.17350029180;0.00144784853;660;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;2;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;6395;1588;93581;681845675;7286.16;227280;2;3000.02;89282;111361;168842;5932;5596;20041;232;30637;78581;47347;44078;9;7;1;2;9;8;9;8;8;7;9;9
3;3;SÃO PAULO;SÃO PAULO - SANTA IFIGÊNIA;0.19020527385;0.00115789825;587;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;3;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;4858;1304;36882;104730459;2839.61;105282;3;994.76;43638;45398;53076;4693;7114;23729;424;18572;39048;17895;13521;1;0;2;1;0;8;0;0;0;0;0;0
4;4;SÃO PAULO;SÃO PAULO - MOÓCA;0.28081706235;0.00173814273;192;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;4;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;4658;1583;60830;273658226;4498.74;176650;3;1549.15;70312;82376;125106;4229;3644;19431;278;24916;59162;35649;32961;7;4;1;1;8;6;4;5;5;4;5;8
5;5;SÃO PAULO;SÃO PAULO - JARDIM PAULISTA;0.17637600268;0.00102175752;365;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;5;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;2360;583;66136;704531932;10652.78;146532;2;4808.04;58440;73346;117231;2164;3755;8562;74;16947;53801;29769;31269;9;2;0;0;8;6;5;3;3;3;3;8
6;6;SÃO PAULO;SÃO PAULO - VILA MARIANA;0.17644320918;0.00135754608;370;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;6;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;4446;1153;79991;619699262;7747.11;203343;3;3047.56;80184;100768;141312;4461;18002;16974;203;27066;71257;42781;39848;9;5;1;1;9;9;8;6;7;6;8;9
20;20;SÃO PAULO;SÃO PAULO - VALO VELHO;0.14444463000;0.00091379181;177;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;20;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;18668;3472;61791;98803846;1599.0;206811;3;477.75;72553;80961;62910;15755;1065;73634;150;38305;71985;29596;13628;1;6;8;7;1;1;5;5;5;6;3;1
228;246;SÃO PAULO;SÃO PAULO - SANTO AMARO;0.18534096516;0.00210882231;182;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;246;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;2616;899;45133;343793531;7617.34;129070;3;2663.62;49854;59750;90915;2571;4481;11567;70;16351;42747;27267;23239;8;1;0;0;5;7;2;1;1;1;2;5
229;247;SÃO PAULO;SÃO PAULO - SÃO MIGUEL PAULISTA;0.17671254199;0.0009999115;581;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;247;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;7451;1972;39077;80481476;2059.56;129473;3;621.61;47480;53637;54575;6937;1499;38011;95;22160;41807;22296;14854;0;1;4;3;0;2;1;1;1;1;0;1
230;248;SÃO PAULO;SÃO PAULO - ITAQUERA;0.22659940628;0.00124568913;652;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;248;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;10269;2764;55724;117107564;2101.56;187407;3;624.88;67650;76772;77059;13329;1697;52205;132;31435;62964;31178;18845;2;4;6;7;3;3;4;4;4;5;4;3
